;:category;:sales;:date;:unit;:name;:ean;:profit;:category-id;:vat;:weight;:id;:qty
729;Mielonki, bloki waga;19.50;2018-11-10;kg;PORCJA ROSOŁOWA MAX-DRÓB WĘDLINDROBEX;2902496000000;4.92;040405;5;1.000;F01450_000949;7.014
730;Artykuły przemysłowe inne;2.56;2018-11-10;szt;SZCZOTECZKA DO RĄK Z UCHWYTEM 11355 RAVI;5906900113558;0.86;110202;23;35.000;F01450_000960;1.000
731;szkoła;4.96;2018-11-10;szt;TOREBKA PREZENTOWA NA BUTELKĘ 120X360X85MM;5906900103573;1.50;110205;23;1.000;F01450_000970;2.000
732;Kiełbasy cienkie waga;7.70;2018-11-10;kg;BALERON GOTOWANY KG WĘDLINDROBEX;2100077011904;-1.81;040403;5;1.000;F01450_001001;0.680
733;Lizaki;1.22;2018-11-10;szt;LIZAKI SERDUSZKA LOVE ME 100X7G;5907205001458;0.69;121108;23;0.008;F01450_001037;5.000
734;szkoła;0.45;2018-11-10;szt;GUMKI ZWIERZĄTKA 24 SZT;5906582009781;0.15;110205;23;1.000;F01450_001060;1.000
735;Kiełbasy cienkie waga;17.22;2018-11-10;kg;KONSERWA WOJSKOWA SWOJSCY WĘDLINDROBEX;2902580000000;4.47;040403;5;1.000;F01450_001074;0.962
736;Pieczywo mrożone - Ciasta;6.14;2018-11-10;szt;CIASTKO SER RODZYNKI 100G;80107;1.67;100206;5;1.000;F01450_001079;3.000
737;Cukierki pakowane;3.37;2018-11-10;szt;JAJKO NIESPODZIANKA PLAST. PSI PATROL18X10G;5026418094498;0.78;121105;23;0.080;F01450_001082;1.000
738;Wyroby podrobowe i garmażeryjne waga;10.20;2018-11-10;kg;KIEŁBASA Z WĘDZARNI JBB WĘDLINDROBEX KG;2902593000000;2.17;040409;5;1.000;F01450_001115;0.556
739;Marynaty i sałatki rybne pakowane;4.28;2018-11-10;szt;DELIKATESOWA PASTA Z ŁOSOSIA 120G DORAL;5907534801989;1.08;060604;5;1.000;F01450_001126;1.000
740;Ciastka;5.93;2018-11-10;szt;CIASTKA GERARD ALUSIE 350G;5907471431393;1.38;121104;23;0.235;F01450_001128;1.000
741;Pieczywo mrożone - Bułki, bagietki;2.93;2018-11-10;szt;BUŁKA ITALO 55G ;80111;0.73;100204;8;1.000;F01450_001132;4.000
742;Dania mięsne pakowane;3.95;2018-11-10;szt;SNACKERSY BANKIETOWE 150G JBB WĘDLINDROBEX SZT;5907701801651;1.04;060602;5;0.250;F01450_001170;1.000
743;Prasa;2.20;2018-11-10;szt;NAKL.UEFA CHAMP.LEAG;4141488600705;0.52;030201;23;0.000;F01450_001229;1.000
744;Konserwy rybne;0.01;2018-11-10;kg;SZPROTKI WĘDZONE PIWOSZKI KG;2902628000000;-13.98;120704;5;0.170;F01450_001233;0.880
745;Wyroby podrobowe i garmażeryjne waga;16.81;2018-11-10;kg;KIEŁBASA KROTOSZYŃSKA JBB WĘDLINDROBEX KG;2902632000000;4.39;040409;5;1.000;F01450_001237;0.716
746;Prasa;2.77;2018-11-10;szt;TWOJE IMPERIUM-WS;9771234691821;0.66;030201;8;0.000;F01450_001239;1.000
747;Pielęgnacja ciała i twarzy;6.14;2018-11-10;szt;BEBE POMADKA DO UST MIX 4,9G;3574660495935;1.54;020207;23;1.000;F01450_001253;1.000
748;Prasa;2.77;2018-11-10;szt;KRZ.Z UŚMIECH MUT.A;9771231539904;0.66;030201;8;0.000;F01450_001267;1.000
749;Desery, serki, kefiry;2.27;2018-11-10;szt;BAKOMA BAKUŚ DES.CZEKO-ORZECH 80G;5900197019241;0.59;060801;8;1.000;F01450_001271;1.000
750;Słodycze luz;43.67;2018-11-10;kg;CIASTKA WESELNE ADAMEK KG;2902645000000;10.07;121109;8;1.000;F01450_001273;2.284
751;Słodycze luz;4.06;2018-11-10;kg;CIASTKA MALTAŃSKIE Z PIANKĄ MARGO KG;2902646000000;0.92;121109;8;1.000;F01450_001274;0.280
752;Wyroby podrobowe i garmażeryjne waga;4.31;2018-11-10;kg;KIEŁBASA WOJCIECHA KAROL WĘDLINDROBEX KG;2902666000000;1.11;040409;5;1.000;F01450_001280;0.164
753;Cukierki pakowane;25.69;2018-11-10;szt;JOHNY BEE SOUR POTTY 24X19G;6939495512115;6.09;121105;23;0.080;F01450_001297;8.000
754;Słodycze luz;20.98;2018-11-10;kg;CIASTKA KOKOSOWA FRAJDA MAX KG;2902675000000;4.83;121109;8;1.000;F01450_001304;1.136
755;Przekąski;21.67;2018-11-10;szt;Słonecznik Solony 80g Turecki;5907641483078;7.27;120101;8;0.080;F01450_001343;12.000
756;Desery w proszku;2.80;2018-11-10;szt;Cukier Waniliowy 32g;5903986000291;1.10;120902;23;0.032;F01450_001470;5.000
757;Przyprawy;0.45;2018-11-10;szt;Soda Oczyszczona 50g Rolwit;5903986000406;0.17;120708;23;0.050;F01450_001473;1.000
758;Akcesoria gospodarstwa domowego;3.21;2018-11-10;szt;Gąbka Kąpielowa D/Masażu;5906900008021;0.96;110201;23;1.000;F01450_001624;1.000
759;Kasza;2.86;2018-11-10;szt;Kasza Jęczmie.Średnia 0,5kg Niedźwiady;5906754000080;0.80;121002;5;0.500;F01450_001741;2.000
760;Znicze;16.79;2018-11-10;szt;WKŁAD W-7 72H FENIX;5901549057157;5.17;110206;23;1.000;F01450_002187;7.000
